serial,instrument_type,label,n_samples,bl_press,temp_diff_mean,temp_diff_std,cond_diff_mean,cond_diff_std,press_diff_mean,press_diff_std
013874,rbr,TR1050,12,2028,0.008,0.0011,,,,
015581,rbr,TR1050,13,2028,0.002,0.0012,,,,
015580,rbr,TR1050,12,2028,0.002,0.001,,,,
015579,rbr,TR1050,12,2028,0.001,0.0011,,,,
015578,rbr,TR1050,12,2028,0.002,0.0011,,,,
15577,rbr,TR1050,12,2028,0.002,0.0011,,,,
15576,rbr,TR1050,12,2028,0.001,0.0009,,,,
15575,rbr,TR1050,13,2028,0.005,0.0011,,,,
15574,rbr,TR1050,12,2028,0.002,0.001,,,,
15573,rbr,TR1050,12,2028,0.001,0.0009,,,,
15572,rbr,TR1050,12,2028,0.002,0.001,,,,
15571,rbr,TR1050,13,2028,0.004,0.0011,,,,
013890,rbr,TR1050,12,2028,0.004,0.0011,,,,
013889,rbr,TR1050,12,2028,0.002,0.001,,,,
013876,rbr,TR1050,12,2028,0.005,0.0011,,,,
013875,rbr,TR1050,12,2028,0.003,0.001,,,,
13840,sbe,SBE37,12,2028,0.003,0.0013,-0.017,0.0007,-0.5,1.3
13841,sbe,SBE37,12,2028,0.001,0.0014,-0.018,0.001,-1.0,0.94
14626,sbe,SBE37,12,2028,0.003,0.0011,-0.02,0.0009,-1.7,1.3
15175,sbe,SBE37,12,2028,0.003,0.0011,-0.018,0.0008,-1.1,1.3
15202,sbe,SBE37,12,2028,0.003,0.0015,-0.019,0.0012,-2.7,1.29
15203,sbe,SBE37,12,2028,0.003,0.0013,-0.018,0.0011,-3.4,1.35
16385,sbe,SBE37,12,2028,0.004,0.0015,-0.022,0.0011,-1.3,1.33
